Datum;Last (MW);Erzeugung (MW);Importe (MW)
01.01.2021 00:00;1079.997;409.589;724.782
02.01.2021 00:00;1163.023;409.043;813.337
03.01.2021 00:00;1137.862;415.457;789.720
04.01.2021 00:00;1297.079;481.205;879.188
05.01.2021 00:00;1332.552;455.939;938.101
06.01.2021 00:00;1357.950;453.258;966.481
07.01.2021 00:00;1391.541;441.504;950.037
08.01.2021 00:00;1402.283;447.895;954.388
09.01.2021 00:00;1263.595;418.394;845.201
10.01.2021 00:00;1187.549;435.655;815.705
11.01.2021 00:00;1348.456;480.500;938.842
12.01.2021 00:00;1344.891;452.083;955.654
13.01.2021 00:00;1362.094;461.329;973.146
14.01.2021 00:00;1350.716;376.769;1035.045
15.01.2021 00:00;1371.553;396.890;1040.173
16.01.2021 00:00;1247.361;429.473;880.243
17.01.2021 00:00;1193.493;434.516;822.186
18.01.2021 00:00;1357.509;452.412;975.976
19.01.2021 00:00;1375.710;417.369;1029.096
20.01.2021 00:00;1355.928;415.409;1012.287
21.01.2021 00:00;1323.065;421.556;961.546
22.01.2021 00:00;1274.297;414.428;916.731
23.01.2021 00:00;1176.520;301.661;936.235
24.01.2021 00:00;1180.817;327.217;911.300
25.01.2021 00:00;1350.306;440.736;974.901
26.01.2021 00:00;1351.021;429.043;990.597
27.01.2021 00:00;1365.193;380.374;1054.450
28.01.2021 00:00;1347.333;374.915;1043.408
29.01.2021 00:00;1340.175;402.193;1008.764
30.01.2021 00:00;1214.498;376.796;894.965
31.01.2021 00:00;1203.377;377.967;889.162
01.02.2021 00:00;1367.939;428.535;1011.143
02.02.2021 00:00;1371.341;428.492;1016.059
03.02.2021 00:00;1398.844;443.232;1027.201
04.02.2021 00:00;1348.383;414.458;1000.933
05.02.2021 00:00;1362.219;396.290;1038.517
06.02.2021 00:00;1236.137;433.361;873.283
07.02.2021 00:00;1223.432;465.064;829.685
08.02.2021 00:00;1399.139;455.178;1017.025
09.02.2021 00:00;1397.209;378.825;1081.701
10.02.2021 00:00;1394.857;395.949;1066.453
11.02.2021 00:00;1401.465;394.869;1071.391
12.02.2021 00:00;1411.401;403.487;1067.231
13.02.2021 00:00;1274.122;398.551;932.757
14.02.2021 00:00;1235.672;411.283;888.203
15.02.2021 00:00;1397.766;444.172;1022.392
16.02.2021 00:00;1376.759;407.828;1037.695
17.02.2021 00:00;1352.793;390.821;1030.242
18.02.2021 00:00;1333.570;384.217;1022.835
19.02.2021 00:00;1325.553;371.198;1023.179
20.02.2021 00:00;1199.712;299.265;963.674
21.02.2021 00:00;1152.588;261.265;953.547
22.02.2021 00:00;1291.903;332.191;1023.735
23.02.2021 00:00;1302.433;309.171;1057.680
24.02.2021 00:00;1291.005;319.182;1037.143
25.02.2021 00:00;1246.114;297.050;1010.093
26.02.2021 00:00;1276.275;315.974;1024.521
27.02.2021 00:00;1187.584;316.249;933.767
28.02.2021 00:00;1175.277;354.618;886.943
01.03.2021 00:00;1405.700;400.713;1004.986
02.03.2021 00:00;1397.735;396.700;1001.035
03.03.2021 00:00;1403.236;410.306;992.929
04.03.2021 00:00;1415.912;435.617;980.294
05.03.2021 00:00;1388.190;455.027;933.162
06.03.2021 00:00;1265.967;432.270;833.696
07.03.2021 00:00;1213.177;425.558;787.618
08.03.2021 00:00;1327.973;447.047;949.287
09.03.2021 00:00;1361.318;461.065;965.311
10.03.2021 00:00;1352.387;425.453;998.105
11.03.2021 00:00;1299.129;396.146;971.215
12.03.2021 00:00;1315.934;386.943;998.153
13.03.2021 00:00;1218.732;224.375;1063.475
14.03.2021 00:00;1178.435;280.864;958.332
15.03.2021 00:00;1335.601;449.580;957.149
16.03.2021 00:00;1346.332;446.287;965.920
17.03.2021 00:00;1336.316;386.918;1009.032
18.03.2021 00:00;1316.783;376.436;1005.338
19.03.2021 00:00;1330.820;375.738;1021.366
20.03.2021 00:00;1210.238;369.161;903.204
21.03.2021 00:00;1140.816;365.794;837.769
22.03.2021 00:00;1320.067;420.341;958.053
23.03.2021 00:00;1343.984;398.923;1010.192
24.03.2021 00:00;1311.276;380.722;996.804
25.03.2021 00:00;1289.212;333.068;1024.259
26.03.2021 00:00;1280.637;311.933;1036.409
27.03.2021 00:00;1182.106;286.998;956.976
28.03.2021 00:00;857.728;303.493;899.129
29.03.2021 00:00;1364.687;330.331;1034.355
30.03.2021 00:00;1287.843;291.747;1057.144
31.03.2021 00:00;1262.775;298.539;1025.072
01.04.2021 00:00;1297.735;292.944;1066.416
02.04.2021 00:00;1145.133;341.014;867.877
03.04.2021 00:00;1122.239;312.307;868.645
04.04.2021 00:00;1085.110;328.772;815.635
05.04.2021 00:00;1159.619;255.454;968.978
06.04.2021 00:00;1308.731;392.582;981.316
07.04.2021 00:00;1315.442;389.772;990.939
08.04.2021 00:00;1273.017;380.522;958.433
09.04.2021 00:00;1288.410;381.054;970.150
10.04.2021 00:00;1143.990;327.785;877.863
11.04.2021 00:00;1137.316;357.652;839.690
12.04.2021 00:00;1291.390;362.920;990.913
13.04.2021 00:00;1305.117;377.668;991.368
14.04.2021 00:00;1330.044;341.746;1055.350
15.04.2021 00:00;1306.917;340.090;1033.849
16.04.2021 00:00;1288.485;339.524;1014.937
17.04.2021 00:00;1150.114;322.416;891.226
18.04.2021 00:00;1109.994;296.376;875.702
19.04.2021 00:00;1279.778;351.766;996.570
20.04.2021 00:00;1286.040;312.449;1040.619
21.04.2021 00:00;1229.122;323.746;963.140
22.04.2021 00:00;1246.988;390.576;924.493
23.04.2021 00:00;1252.222;362.849;958.076
24.04.2021 00:00;1144.649;291.090;917.437
25.04.2021 00:00;1120.466;294.427;890.023
26.04.2021 00:00;1276.250;317.378;1022.012
27.04.2021 00:00;1262.338;323.431;1004.845
28.04.2021 00:00;1280.572;310.123;1038.549
29.04.2021 00:00;1276.873;332.610;1009.579
30.04.2021 00:00;1270.970;310.335;1021.536
01.05.2021 00:00;1105.132;257.628;906.002
02.05.2021 00:00;1088.659;273.892;876.892
03.05.2021 00:00;1274.351;290.368;1049.162
04.05.2021 00:00;1292.986;325.901;1035.206
